,yearmonth,count,class
913,2008-02-01,16,high
914,2008-03-01,20,high
915,2008-03-01,20,high
916,2008-04-01,28,high
917,2008-04-01,28,high
918,2008-05-01,24,high
919,2008-05-01,24,high
920,2008-06-01,22,high
921,2008-06-01,22,high
922,2008-07-01,20,high
923,2008-07-01,20,high
924,2008-08-01,19,high
925,2008-08-01,19,high
926,2008-09-01,16,high
927,2008-09-01,16,high
928,2008-10-01,15,high
929,2008-10-01,15,high
930,2008-11-01,20,high
931,2008-11-01,20,high
932,2008-12-01,21,high
933,2008-12-01,21,high
934,2009-01-01,19,high
935,2009-01-01,19,high
936,2009-02-01,18,high
937,2009-02-01,18,high
938,2009-03-01,24,high
939,2009-03-01,24,high
940,2009-04-01,27,high
941,2009-04-01,27,high
942,2009-05-01,18,high
943,2009-05-01,18,high
944,2009-06-01,20,high
945,2009-06-01,20,high
946,2009-07-01,21,high
947,2009-07-01,21,high
948,2009-08-01,17,high
949,2009-08-01,17,high
950,2009-09-01,38,high
951,2009-09-01,38,high
952,2009-10-01,22,high
953,2009-10-01,22,high
954,2009-11-01,15,high
955,2009-11-01,15,high
956,2009-12-01,25,high
957,2009-12-01,25,high
958,2010-01-01,9,high
959,2010-01-01,9,high
960,2010-02-01,20,high
961,2010-02-01,20,high
962,2010-03-01,25,high
963,2010-03-01,25,high
964,2010-04-01,31,high
965,2010-04-01,31,high
966,2010-05-01,18,high
967,2010-05-01,18,high
968,2010-06-01,23,high
969,2010-06-01,23,high
970,2010-07-01,31,high
971,2010-07-01,31,high
972,2010-08-01,18,high
973,2010-08-01,18,high
974,2010-09-01,30,high
975,2010-09-01,30,high
976,2010-10-01,28,high
977,2010-10-01,28,high
978,2010-11-01,30,high
979,2010-11-01,30,high
980,2010-12-01,23,high
981,2010-12-01,23,high
982,2011-01-01,13,high
983,2011-01-01,13,high
984,2011-02-01,13,high
985,2011-02-01,13,high
986,2011-03-01,20,high
987,2011-03-01,20,high
988,2011-04-01,18,high
989,2011-04-01,18,high
990,2011-05-01,21,high
991,2011-05-01,21,high
992,2011-06-01,17,high
993,2011-06-01,17,high
994,2011-07-01,18,high
995,2011-07-01,18,high
996,2011-08-01,29,high
997,2011-08-01,29,high
998,2011-09-01,18,high
999,2011-09-01,18,high
1000,2011-10-01,17,high
1001,2011-10-01,17,high
1002,2011-11-01,25,high
1003,2011-11-01,25,high
1004,2011-12-01,24,high
1005,2011-12-01,24,high
1006,2012-01-01,21,high
1007,2012-01-01,21,high
1008,2012-02-01,24,high
1009,2012-02-01,24,high
1010,2012-03-01,25,high
1011,2012-03-01,25,high
1012,2012-04-01,25,high
1013,2012-04-01,25,high
1014,2012-05-01,28,high
1015,2012-05-01,28,high
1016,2012-06-01,20,high
1017,2012-06-01,20,high
1018,2012-07-01,28,high
1019,2012-07-01,28,high
1020,2012-08-01,20,high
1021,2012-08-01,20,high
1022,2012-09-01,19,high
1023,2012-09-01,19,high
1024,2012-10-01,25,high
1025,2012-10-01,25,high
1026,2012-11-01,17,high
1027,2012-11-01,17,high
1028,2012-12-01,23,high
1029,2012-12-01,23,high
1030,2013-01-01,21,high
1031,2013-01-01,21,high
1032,2013-02-01,20,high
1033,2013-02-01,20,high
1034,2013-03-01,21,high
1035,2013-03-01,21,high
1036,2013-04-01,19,high
1037,2013-04-01,19,high
1038,2013-05-01,30,high
1039,2013-05-01,30,high
1040,2013-06-01,22,high
1041,2013-06-01,22,high
1042,2013-07-01,21,high
1043,2013-07-01,21,high
1044,2013-08-01,20,high
1045,2013-08-01,20,high
1046,2013-09-01,20,high
1047,2013-09-01,20,high
1048,2013-10-01,19,high
1049,2013-10-01,19,high
1050,2013-11-01,17,high
1051,2013-11-01,17,high
1052,2013-12-01,24,high
1053,2013-12-01,24,high
1054,2014-01-01,22,high
1055,2014-01-01,22,high
1056,2014-02-01,24,high
1057,2014-02-01,24,high
1058,2014-03-01,26,high
1059,2014-03-01,26,high
1060,2014-04-01,22,high
1061,2014-04-01,22,high
1062,2014-05-01,21,high
1063,2014-05-01,21,high
1064,2014-06-01,29,high
1065,2014-06-01,29,high
1066,2014-07-01,32,high
